sample_id,shannon,simpson
0,5.639918355805912,0.97989104
1,5.639330406362253,0.97987376
2,5.639826452486799,0.97988914
3,5.6395322487803154,0.97987864
4,5.640375418486814,0.9799038
5,5.640930658005091,0.97991902
6,5.640319795810224,0.9799005
7,5.641098923902027,0.97992382
8,5.639765173858586,0.97988648
9,5.640200363243797,0.97989794
10,5.639937284656413,0.97989034
11,5.639955464912396,0.97989008
12,5.6400550310180675,0.97989376
13,5.6404613233559555,0.9799061
14,5.639769610681716,0.97988632
15,5.640234794651291,0.97989962
16,5.640924428049102,0.97991846
17,5.63985024380712,0.9798877
18,5.641045670761794,0.97992164
19,5.640056970732837,0.97989508
20,5.639713597896719,0.97988542
21,5.640709086640685,0.97991272
22,5.6408563870661315,0.97991572
23,5.63894456087168,0.97986346
24,5.640793477108414,0.97991484
25,5.640348789782843,0.97990226
26,5.640359177091806,0.97990462
27,5.640877874732175,0.97991812
28,5.640696750552653,0.97991224
29,5.640686528790707,0.97991066
30,5.640142018080321,0.97990008
31,5.64080599154321,0.97991646
32,5.6388575838511645,0.9798617
33,5.63975398928261,0.9798849
34,5.639602689792571,0.9798821600000001
35,5.6414299823203065,0.97993278
36,5.639921749064135,0.97988994
37,5.641965115150347,0.97994748
38,5.64004244244121,0.97989504
39,5.6417839701371255,0.97994308
40,5.64075084063827,0.97991326
41,5.6387586286782305,0.97985888
42,5.640920124899587,0.97992022
43,5.6399350707275415,0.97989088
44,5.640342931406045,0.97990232
45,5.6398217579775,0.97988714
46,5.640691454056818,0.97991252
47,5.640140831155308,0.9798977
48,5.6391206653219985,0.97986784
49,5.640385590252646,0.97990412
50,5.638897209993889,0.97985964
51,5.640505733690691,0.97990694
52,5.640403897612955,0.9799048
53,5.640731015868544,0.9799135
54,5.639770817582693,0.97988718
55,5.6387782210990425,0.97985866
56,5.640882081712859,0.97991844
57,5.639188958508171,0.97987034
58,5.639804079628828,0.97988738
59,5.640213881670456,0.97990034
60,5.640452727779943,0.97990524
61,5.640262935211461,0.9799012
62,5.639940895503053,0.97989128
63,5.641503917684901,0.97993528
64,5.6399201606625295,0.97989206
65,5.639645016435336,0.97988276
66,5.641568476717901,0.979936
67,5.639765700248045,0.9798875
68,5.640360549097809,0.97990296
69,5.639764292458197,0.97988556
70,5.640285031328976,0.97990156
71,5.640518911255725,0.9799078
72,5.6392948798172,0.97987232
73,5.640719028939359,0.97991246
74,5.641076937448042,0.97992292
75,5.639210085145522,0.9798721
76,5.640052102484829,0.97989532
77,5.640595326383484,0.97990918
78,5.63949921872896,0.97987982
79,5.64202445219272,0.97994966
80,5.640471073638814,0.97990654
81,5.6398173727931,0.97988812
82,5.641403020275459,0.97993196
83,5.640919694987061,0.97991848
84,5.64028495547516,0.9799008
85,5.640314983944488,0.97990014
86,5.638709705890711,0.97985782
87,5.63925861082108,0.97987384
88,5.638826275293835,0.97985926
89,5.640228780533041,0.97989886
90,5.640281764137476,0.97990194
91,5.640259535001056,0.97990062
92,5.641116123166737,0.97992368
93,5.640739080296952,0.97991424
94,5.639653249977679,0.97988402
95,5.640549360588733,0.9799081
96,5.64103738796344,0.97992232
97,5.640144038839298,0.97989724
98,5.640407825310414,0.97990424
99,5.640798765393514,0.9799165400000001
